1403636580.063555	0.000007	-67.794456	-174.831863	0.000000	0.000000	-0.000000	-0.071438	-0.002410	-0.514072
1403636580.163555	-1.162511	-67.787277	-173.624847	-0.003718	0.001094	-0.050853	-0.053001	0.005222	-0.474806
1403636580.263556	-0.934995	-67.693443	-173.765396	-0.008461	0.002353	-0.095080	-0.038070	0.012447	-0.403462
1403636580.363555	0.142580	-66.995415	-174.700226	-0.013728	0.003961	-0.131336	-0.044701	0.015533	-0.336560
1403636580.463556	0.928873	-65.414833	-175.385849	-0.018475	0.005079	-0.158409	-0.023496	0.018155	-0.197181
1403636580.563555	0.958050	-63.739319	-175.270248	-0.019901	0.006009	-0.163384	0.007299	0.016002	0.110297
1403636580.663555	0.797077	-63.315613	-174.949341	-0.018554	0.007458	-0.134713	0.044716	0.022361	0.442533
1403636580.763556	1.885492	-63.803761	-176.304916	-0.011829	0.007931	-0.079024	0.094454	0.008895	0.667027
1403636580.863555	3.459842	-64.660408	-178.744034	-0.001233	0.009139	-0.005922	0.119420	0.013573	0.770195
1403636580.963556	5.017421	-65.612381	178.888412	0.011160	0.012433	0.069810	0.124262	0.042426	0.726075
1403636581.063555	5.461464	-66.416954	178.440445	0.026505	0.018267	0.136146	0.149387	0.037951	0.627823
